[0621_154756] lr:0.001, map:0.4818840547183118,loss:{'total_loss': tensor(0.3066, device='cuda:0'), 'rpn_cls_loss': tensor(1.00000e-02 * 9.0696, device='cuda:0'), 'rpn_loc_loss': tensor(1.00000e-02 * 4.6412, device='cuda:0'), 'roi_loc_loss': tensor(1.00000e-03 * 3.5012, device='cuda:0'), 'roi_cls_loss': tensor(0.1660, device='cuda:0')}
[0621_162441] lr:0.001, map:0.5063405908128331,loss:{'total_loss': tensor(0.2876, device='cuda:0'), 'rpn_cls_loss': tensor(1.00000e-02 * 8.2995, device='cuda:0'), 'rpn_loc_loss': tensor(1.00000e-02 * 4.5296, device='cuda:0'), 'roi_loc_loss': tensor(1.00000e-03 * 3.4605, device='cuda:0'), 'roi_cls_loss': tensor(0.1559, device='cuda:0')}
[0621_170130] lr:0.001, map:0.5010873411895562,loss:{'total_loss': tensor(0.2686, device='cuda:0'), 'rpn_cls_loss': tensor(1.00000e-02 * 7.5265, device='cuda:0'), 'rpn_loc_loss': tensor(1.00000e-02 * 4.3626, device='cuda:0'), 'roi_loc_loss': tensor(1.00000e-03 * 3.4328, device='cuda:0'), 'roi_cls_loss': tensor(0.1463, device='cuda:0')}
[0621_173800] lr:0.001, map:0.5257043179943698,loss:{'total_loss': tensor(0.2524, device='cuda:0'), 'rpn_cls_loss': tensor(1.00000e-02 * 6.8197, device='cuda:0'), 'rpn_loc_loss': tensor(1.00000e-02 * 4.2620, device='cuda:0'), 'roi_loc_loss': tensor(1.00000e-03 * 3.4019, device='cuda:0'), 'roi_cls_loss': tensor(0.1381, device='cuda:0')}
[0621_181457] lr:0.001, map:0.5259876424962413,loss:{'total_loss': tensor(0.2414, device='cuda:0'), 'rpn_cls_loss': tensor(1.00000e-02 * 6.3049, device='cuda:0'), 'rpn_loc_loss': tensor(1.00000e-02 * 4.1615, device='cuda:0'), 'roi_loc_loss': tensor(1.00000e-03 * 3.3859, device='cuda:0'), 'roi_cls_loss': tensor(0.1333, device='cuda:0')}
[0621_185153] lr:0.001, map:0.5251853494214784,loss:{'total_loss': tensor(0.2315, device='cuda:0'), 'rpn_cls_loss': tensor(1.00000e-02 * 5.9000, device='cuda:0'), 'rpn_loc_loss': tensor(1.00000e-02 * 4.0599, device='cuda:0'), 'roi_loc_loss': tensor(1.00000e-03 * 3.3470, device='cuda:0'), 'roi_cls_loss': tensor(0.1285, device='cuda:0')}
[0621_192850] lr:0.001, map:0.5582850035967121,loss:{'total_loss': tensor(0.2214, device='cuda:0'), 'rpn_cls_loss': tensor(1.00000e-02 * 5.4125, device='cuda:0'), 'rpn_loc_loss': tensor(1.00000e-02 * 4.0369, device='cuda:0'), 'roi_loc_loss': tensor(1.00000e-03 * 3.3131, device='cuda:0'), 'roi_cls_loss': tensor(0.1236, device='cuda:0')}
[0621_200540] lr:0.001, map:0.5354717949256019,loss:{'total_loss': tensor(0.2131, device='cuda:0'), 'rpn_cls_loss': tensor(1.00000e-02 * 5.0543, device='cuda:0'), 'rpn_loc_loss': tensor(1.00000e-02 * 3.8856, device='cuda:0'), 'roi_loc_loss': tensor(1.00000e-03 * 3.3061, device='cuda:0'), 'roi_cls_loss': tensor(0.1204, device='cuda:0')}
[0621_204233] lr:0.001, map:0.553074617640215,loss:{'total_loss': tensor(0.2053, device='cuda:0'), 'rpn_cls_loss': tensor(1.00000e-02 * 4.7549, device='cuda:0'), 'rpn_loc_loss': tensor(1.00000e-02 * 3.8394, device='cuda:0'), 'roi_loc_loss': tensor(1.00000e-03 * 3.2810, device='cuda:0'), 'roi_cls_loss': tensor(0.1161, device='cuda:0')}
[0621_211924] lr:0.0001, map:0.5491421198974213,loss:{'total_loss': tensor(0.1988, device='cuda:0'), 'rpn_cls_loss': tensor(1.00000e-02 * 4.4516, device='cuda:0'), 'rpn_loc_loss': tensor(1.00000e-02 * 3.7604, device='cuda:0'), 'roi_loc_loss': tensor(1.00000e-03 * 3.2553, device='cuda:0'), 'roi_cls_loss': tensor(0.1134, device='cuda:0')}
[0621_215616] lr:0.0001, map:0.582585504066168,loss:{'total_loss': tensor(0.1890, device='cuda:0'), 'rpn_cls_loss': tensor(1.00000e-02 * 4.3887, device='cuda:0'), 'rpn_loc_loss': tensor(1.00000e-02 * 3.6033, device='cuda:0'), 'roi_loc_loss': tensor(1.00000e-03 * 3.3293, device='cuda:0'), 'roi_cls_loss': tensor(0.1057, device='cuda:0')}
